"","date","Dog_name","Weight","std"
"263",2019-03-31,"gagne",10.375,NA
"264",2019-04-05,"raisin",17.8125,NA
"265",2019-04-05,"simone",10.25,NA
"266",2019-04-05,"gagne",10.4375,NA
"267",2019-04-07,"raisin",17.875,NA
"268",2019-04-07,"simone",10.25,NA
"269",2019-04-07,"gagne",10.4375,NA
"270",2019-04-09,"raisin",17.9375,NA
"271",2019-04-09,"simone",10.375,NA
"272",2019-04-09,"gagne",10.4375,NA
"273",2019-04-11,"raisin",17.9375,NA
"274",2019-04-11,"simone",10.375,NA
"275",2019-04-11,"gagne",10.375,NA
"276",2019-04-15,"raisin",17.625,NA
"277",2019-04-15,"simone",9.9375,NA
"278",2019-04-15,"gagne",9.9375,NA
"279",2019-04-21,"raisin",17.625,NA
"280",2019-04-21,"simone",10.3125,NA
"281",2019-04-21,"gagne",10.125,NA
"282",2019-04-24,"raisin",17.6875,NA
"283",2019-04-24,"simone",10.375,NA
"284",2019-04-24,"gagne",10.1875,NA
"285",2019-04-30,"raisin",17.5625,NA
"286",2019-04-30,"simone",10.0625,NA
"287",2019-04-30,"gagne",9.8125,NA
"288",2019-05-03,"raisin",17.5,NA
"289",2019-05-03,"simone",10.3125,NA
"290",2019-05-03,"gagne",10.0625,NA
"291",2019-05-06,"raisin",17.5625,NA
"292",2019-05-06,"simone",10.0625,NA
"293",2019-05-06,"gagne",10.0625,NA
"294",2019-05-10,"raisin",17.25,NA
"295",2019-05-10,"simone",10.1875,NA
"296",2019-05-10,"gagne",10.125,NA
"297",2019-05-17,"raisin",17.5,NA
"298",2019-05-17,"simone",10.25,NA
"299",2019-05-17,"gagne",10.0625,NA
"300",2019-05-31,"raisin",17.25,NA
"301",2019-05-31,"simone",9.875,NA
"302",2019-05-31,"gagne",9.5,NA
"303",2019-06-08,"raisin",18.0625,NA
"304",2019-06-08,"simone",10.4375,NA
"305",2019-06-08,"gagne",9.875,NA
"306",2019-06-12,"raisin",17.6875,NA
"307",2019-06-12,"simone",10.3125,NA
"308",2019-06-12,"gagne",9.5625,NA
"309",2019-06-15,"raisin",17.75,NA
"310",2019-06-15,"simone",10.25,NA
"311",2019-06-15,"gagne",9.5,NA
"312",2019-06-21,"raisin",18.25,NA
"313",2019-06-21,"simone",10.5625,NA
"314",2019-06-21,"gagne",9.5625,NA
"315",2019-07-03,"raisin",18,NA
"316",2019-07-03,"simone",10,NA
"317",2019-07-03,"gagne",9.3125,NA
"318",2019-07-08,"raisin",18.0625,NA
"319",2019-07-08,"simone",10.6875,NA
"320",2019-07-08,"gagne",9.375,NA
"321",2019-07-16,"raisin",18.375,NA
"322",2019-07-16,"simone",10.4375,NA
"323",2019-07-16,"gagne",8.9375,NA
"324",2019-07-19,"raisin",18.125,NA
"325",2019-07-19,"simone",10.375,NA
"326",2019-07-19,"gagne",9,NA
"327",2019-07-23,"raisin",18.1875,NA
"328",2019-07-23,"simone",10.25,NA
"329",2019-07-23,"gagne",8.75,NA
"330",2019-07-26,"raisin",18.1875,NA
"331",2019-07-26,"simone",10.25,NA
"332",2019-07-26,"gagne",9,NA
"333",2019-07-30,"raisin",18.125,NA
"334",2019-07-30,"simone",10.25,NA
"335",2019-07-30,"gagne",8.75,NA
"336",2019-08-04,"raisin",18.1875,NA
"337",2019-08-04,"simone",10.375,NA
"338",2019-08-04,"gagne",8.6875,NA
"339",2019-08-06,"raisin",18.1875,NA
"340",2019-08-06,"simone",10.4375,NA
"341",2019-08-06,"gagne",8.8125,NA
"342",2019-08-10,"raisin",17.9375,NA
"343",2019-08-10,"simone",10.1875,NA
"344",2019-08-10,"gagne",8.75,NA
"345",2019-08-14,"raisin",7.9375,NA
"346",2019-08-14,"simone",10.4375,NA
"347",2019-08-14,"gagne",8.875,NA
"348",2019-08-18,"raisin",18,NA
"349",2019-08-18,"simone",10.25,NA
"350",2019-08-18,"gagne",8.6875,NA
"351",2019-08-22,"raisin",17.875,NA
"352",2019-08-22,"simone",10.375,NA
"353",2019-08-22,"gagne",8.5625,NA
"354",2019-08-25,"raisin",17.9375,NA
"355",2019-08-25,"simone",10.3125,NA
"356",2019-08-25,"gagne",8.375,NA
"357",2019-08-28,"raisin",17.8125,NA
"358",2019-08-28,"simone",10.3125,NA
"359",2019-08-28,"gagne",8.125,NA
"360",2019-09-03,"raisin",17.875,NA
"361",2019-09-03,"simone",9.875,NA
"362",2019-09-06,"raisin",17.4375,NA
"363",2019-09-06,"simone",10.125,NA
"364",2019-09-06,"gagne",8,NA
"365",2019-09-22,"raisin",17.875,NA
"366",2019-09-22,"simone",9.9375,NA
"367",2019-09-25,"raisin",17.625,NA
"368",2019-09-25,"simone",10.1875,NA
"369",2019-10-02,"raisin",17.5625,NA
"370",2019-10-02,"simone",10.25,NA
"371",2019-10-07,"raisin",17.5,NA
"372",2019-10-07,"simone",10.0625,NA
"373",2019-10-11,"raisin",17.375,NA
"374",2019-10-11,"simone",10.25,NA
"375",2019-10-15,"raisin",17.5625,NA
"376",2019-10-15,"simone",10.3125,NA
"377",2019-10-19,"raisin",17.6875,NA
"378",2019-10-19,"simone",10.1875,NA
"379",2019-10-22,"raisin",17.6875,NA
"380",2019-10-22,"simone",10.3125,NA
"381",2019-11-04,"raisin",17.125,NA
"382",2019-11-04,"simone",9.125,NA
"383",2019-11-06,"raisin",17.375,NA
"384",2019-11-06,"simone",9.625,NA
"385",2019-11-10,"raisin",17.5625,NA
"386",2019-11-10,"simone",10,NA
"387",2019-11-17,"raisin",17.3125,NA
"388",2019-11-17,"simone",9.75,NA
"389",2019-11-24,"raisin",17.625,NA
"390",2019-11-24,"simone",9.875,NA
"391",2019-11-30,"raisin",17.375,NA
"392",2019-11-30,"simone",9.75,NA
"393",2019-12-07,"raisin",17.5,NA
"394",2019-12-07,"simone",9.875,NA
"395",2019-12-12,"raisin",17.75,NA
"396",2019-12-12,"simone",10,NA
"397",2019-12-15,"raisin",17.875,NA
"398",2019-12-15,"simone",10,NA
"399",2019-12-19,"raisin",17.8125,NA
"400",2019-12-19,"simone",9.875,NA
"401",2019-12-30,"raisin",17.8125,NA
"402",2019-12-30,"simone",9.875,NA
"403",2020-01-11,"raisin",17.5625,NA
"404",2020-01-11,"simone",9.625,NA
"405",2020-01-13,"raisin",17.625,NA
"406",2020-01-13,"simone",9.5625,NA
"407",2020-01-19,"raisin",17.9375,NA
"408",2020-01-19,"simone",9.6875,NA
"409",2020-01-22,"raisin",17.875,NA
"410",2020-01-22,"simone",9.8125,NA
"411",2020-01-29,"raisin",18,NA
"412",2020-01-29,"simone",9.9375,NA
"413",2020-02-03,"raisin",17.3125,NA
"414",2020-02-03,"simone",9.3125,NA
"415",2020-02-06,"raisin",17.375,NA
"416",2020-02-06,"simone",9.625,NA
"417",2020-02-13,"raisin",17.4375,NA
"418",2020-02-13,"simone",9.9375,NA
"419",2020-02-18,"raisin",17.25,NA
"420",2020-02-18,"simone",9.25,NA
"421",2020-02-25,"raisin",17.3125,NA
"422",2020-02-25,"simone",9.75,NA
"423",2020-03-04,"raisin",17.5,NA
"424",2020-03-04,"simone",10.0625,NA
"425",2020-03-10,"raisin",17.5,NA
"426",2020-03-10,"simone",10,NA
"427",2020-03-13,"raisin",17.5,NA
"428",2020-03-13,"simone",9.9375,NA
"429",2020-03-20,"raisin",17.625,NA
"430",2020-03-20,"simone",10.1875,NA
"431",2020-03-24,"raisin",17.5625,NA
"432",2020-03-24,"simone",10.0625,NA
"433",2020-03-30,"raisin",17.875,NA
"434",2020-03-30,"simone",10.0625,NA
"435",2020-04-03,"raisin",17.875,NA
"436",2020-04-03,"simone",10.0625,NA
"437",2020-04-06,"raisin",17.8125,NA
"438",2020-04-06,"simone",10.3125,NA
"439",2020-04-10,"raisin",17.8125,NA
"440",2020-04-10,"simone",10.1875,NA
"441",2020-04-17,"raisin",17.9375,NA
"442",2020-04-17,"simone",10.5,NA
"443",2020-04-20,"raisin",17.9375,NA
"444",2020-04-20,"simone",10.5625,NA
"445",2020-04-26,"raisin",18.125,NA
"446",2020-04-26,"simone",10.375,NA
"447",2020-05-02,"raisin",18.3125,NA
"448",2020-05-02,"simone",10.375,NA
"449",2020-05-06,"raisin",18.1875,NA
"450",2020-05-06,"simone",10.4375,NA
"451",2020-05-12,"raisin",18.375,NA
"452",2020-05-12,"simone",10.375,NA
"453",2020-05-16,"raisin",18.375,NA
"454",2020-05-16,"simone",10.5,NA
"455",2020-05-20,"raisin",18.4375,NA
"456",2020-05-20,"simone",10.5625,NA
"457",2020-05-22,"raisin",18.5625,NA
"458",2020-05-22,"simone",10.8125,NA
"459",2020-05-23,"raisin",18.3125,NA
"460",2020-05-23,"simone",10.625,NA
"461",2020-05-30,"raisin",18.3125,NA
"462",2020-05-30,"simone",10.5,NA
"463",2020-06-04,"raisin",18.3125,NA
"464",2020-06-04,"simone",10.25,NA
"465",2020-06-09,"raisin",18.4375,20.975
"466",2020-06-09,"simone",10.5,20.975
"467",2020-06-10,"raisin",18.1875,NA
"468",2020-06-10,"simone",10.375,NA
"469",2020-06-13,"raisin",18.125,NA
"470",2020-06-13,"simone",10.5625,NA
"471",2020-06-16,"raisin",18.4375,NA
"472",2020-06-16,"simone",10.4375,NA
"473",2020-06-18,"raisin",18.5,NA
"474",2020-06-18,"simone",10.4375,NA
"475",2020-06-21,"raisin",18.1875,NA
"476",2020-06-21,"simone",10.4375,NA
"477",2020-06-23,"raisin",18.3125,NA
"478",2020-06-23,"simone",10.5,NA
"479",2020-07-12,"raisin",18.5625,NA
"480",2020-07-12,"simone",10.5,NA
"481",2020-07-13,"raisin",18.375,NA
"482",2020-07-14,"raisin",18.375,NA
